raceth,age_group_5yr,sex,statefip,n,weighted
White Non-Hispanic,40-44,NA,27,12095,1164416
White Non-Hispanic,40-44,NA,28,3936,413820
White Non-Hispanic,40-44,NA,29,12111,1228847
White Non-Hispanic,40-44,NA,30,2138,246198
White Non-Hispanic,40-44,NA,31,3826,401204
White Non-Hispanic,40-44,NA,32,3558,381109
White Non-Hispanic,40-44,NA,33,2574,282168
White Non-Hispanic,40-44,NA,34,12052,1115814
White Non-Hispanic,40-44,NA,35,1629,182392
White Non-Hispanic,40-44,NA,36,28044,2486801
White Non-Hispanic,40-44,NA,37,16049,1610899
White Non-Hispanic,40-44,NA,38,1556,164417
White Non-Hispanic,40-44,NA,39,22552,2239079
White Non-Hispanic,40-44,NA,40,5925,667302
White Non-Hispanic,40-44,NA,41,8623,865475
White Non-Hispanic,40-44,NA,42,23831,2290845
White Non-Hispanic,40-44,NA,44,1648,181138
White Non-Hispanic,40-44,NA,45,8108,819654
White Non-Hispanic,40-44,NA,46,1741,188247
White Non-Hispanic,40-44,NA,47,12786,1291179
White Non-Hispanic,40-44,NA,48,32562,3179430
White Non-Hispanic,40-44,NA,49,7498,721081
White Non-Hispanic,40-44,NA,50,1333,135892
White Non-Hispanic,40-44,NA,51,13618,1321597
White Non-Hispanic,40-44,NA,53,13978,1379247
White Non-Hispanic,40-44,NA,54,3671,407867
White Non-Hispanic,40-44,NA,55,12099,1167931
White Non-Hispanic,40-44,NA,56,1187,127714
White Non-Hispanic,45-49,NA,1,8087,768314
White Non-Hispanic,45-49,NA,2,815,103624
White Non-Hispanic,45-49,NA,4,8686,850471
White Non-Hispanic,45-49,NA,5,5039,502826
White Non-Hispanic,45-49,NA,6,31312,3087181
White Non-Hispanic,45-49,NA,8,10209,947894
White Non-Hispanic,45-49,NA,9,5378,501541
White Non-Hispanic,45-49,NA,10,1121,122517
White Non-Hispanic,45-49,NA,11,660,55854
White Non-Hispanic,45-49,NA,12,23467,2380084
White Non-Hispanic,45-49,NA,13,14364,1314009
White Non-Hispanic,45-49,NA,15,695,67329
White Non-Hispanic,45-49,NA,16,3542,362493
White Non-Hispanic,45-49,NA,17,19667,1752093
White Non-Hispanic,45-49,NA,18,12108,1219165
White Non-Hispanic,45-49,NA,19,5956,599282
White Non-Hispanic,45-49,NA,20,4858,480462
White Non-Hispanic,45-49,NA,21,8920,903709
White Non-Hispanic,45-49,NA,22,6047,599920
White Non-Hispanic,45-49,NA,23,2659,286686
White Non-Hispanic,45-49,NA,24,7457,657056
White Non-Hispanic,45-49,NA,25,11260,1070646
White Non-Hispanic,45-49,NA,26,16827,1659183
